"","Event.No","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
"1",1,5.09999990463257,3.5,1.39999997615814,0.200000002980232
"2",2,4.90000009536743,3,1.39999997615814,0.200000002980232
"3",3,4.69999980926514,3.20000004768372,1.29999995231628,0.200000002980232
"4",4,4.59999990463257,3.09999990463257,1.5,0.200000002980232
"5",5,5,3.59999990463257,1.39999997615814,0.200000002980232
"6",6,5.40000009536743,3.90000009536743,1.70000004768372,0.400000005960464
"7",7,4.59999990463257,3.40000009536743,1.39999997615814,0.300000011920929
"8",8,5,3.40000009536743,1.5,0.200000002980232
"9",9,4.40000009536743,2.90000009536743,1.39999997615814,0.200000002980232
"10",10,4.90000009536743,3.09999990463257,1.5,0.100000001490116
"11",11,5.40000009536743,3.70000004768372,1.5,0.200000002980232
"12",12,4.80000019073486,3.40000009536743,1.60000002384186,0.200000002980232
"13",13,4.80000019073486,3,1.39999997615814,0.100000001490116
"14",14,4.30000019073486,3,1.10000002384186,0.100000001490116
"15",15,5.80000019073486,4,1.20000004768372,0.200000002980232
"16",16,5.69999980926514,4.40000009536743,1.5,0.400000005960464
"17",17,5.40000009536743,3.90000009536743,1.29999995231628,0.400000005960464
"18",18,5.09999990463257,3.5,1.39999997615814,0.300000011920929
"19",19,5.69999980926514,3.79999995231628,1.70000004768372,0.300000011920929
"20",20,5.09999990463257,3.79999995231628,1.5,0.300000011920929
"21",21,5.40000009536743,3.40000009536743,1.70000004768372,0.200000002980232
"22",22,5.09999990463257,3.70000004768372,1.5,0.400000005960464
"23",23,4.59999990463257,3.59999990463257,1,0.200000002980232
"24",24,5.09999990463257,3.29999995231628,1.70000004768372,0.5
"25",25,4.80000019073486,3.40000009536743,1.89999997615814,0.200000002980232
"26",26,5,3,1.60000002384186,0.200000002980232
"27",27,5,3.40000009536743,1.60000002384186,0.400000005960464
"28",28,5.19999980926514,3.5,1.5,0.200000002980232
"29",29,5.19999980926514,3.40000009536743,1.39999997615814,0.200000002980232
"30",30,4.69999980926514,3.20000004768372,1.60000002384186,0.200000002980232
"31",31,4.80000019073486,3.09999990463257,1.60000002384186,0.200000002980232
"32",32,5.40000009536743,3.40000009536743,1.5,0.400000005960464
"33",33,5.19999980926514,4.09999990463257,1.5,0.100000001490116
"34",34,5.5,4.19999980926514,1.39999997615814,0.200000002980232
"35",35,4.90000009536743,3.09999990463257,1.5,0.200000002980232
"36",36,5,3.20000004768372,1.20000004768372,0.200000002980232
"37",37,5.5,3.5,1.29999995231628,0.200000002980232
"38",38,4.90000009536743,3.59999990463257,1.39999997615814,0.100000001490116
"39",39,4.40000009536743,3,1.29999995231628,0.200000002980232
"40",40,5.09999990463257,3.40000009536743,1.5,0.200000002980232
"41",41,5,3.5,1.29999995231628,0.300000011920929
"42",42,4.5,2.29999995231628,1.29999995231628,0.300000011920929
"43",43,4.40000009536743,3.20000004768372,1.29999995231628,0.200000002980232
"44",44,5,3.5,1.60000002384186,0.600000023841858
"45",45,5.09999990463257,3.79999995231628,1.89999997615814,0.400000005960464
"46",46,4.80000019073486,3,1.39999997615814,0.300000011920929
"47",47,5.09999990463257,3.79999995231628,1.60000002384186,0.200000002980232
"48",48,4.59999990463257,3.20000004768372,1.39999997615814,0.200000002980232
"49",49,5.30000019073486,3.70000004768372,1.5,0.200000002980232
"50",50,5,3.29999995231628,1.39999997615814,0.200000002980232
"51",51,7,3.20000004768372,4.69999980926514,1.39999997615814
"52",52,6.40000009536743,3.20000004768372,4.5,1.5
"53",53,6.90000009536743,3.09999990463257,4.90000009536743,1.5
"54",54,5.5,2.29999995231628,4,1.29999995231628
"55",55,6.5,2.79999995231628,4.59999990463257,1.5
"56",56,5.69999980926514,2.79999995231628,4.5,1.29999995231628
"57",57,6.30000019073486,3.29999995231628,4.69999980926514,1.60000002384186
"58",58,4.90000009536743,2.40000009536743,3.29999995231628,1
